Conjunto Inicial: 45,98,46,78,96,1,6,45,7,8,99,999,

ORDENANDO CON BUBBLE SORT
(ASCENDENTE)

Paso 1: 45,46,98,78,96,1,6,45,7,8,99,999,
Paso 2: 45,46,78,98,96,1,6,45,7,8,99,999,
Paso 3: 45,46,78,96,98,1,6,45,7,8,99,999,
Paso 4: 45,46,78,96,1,98,6,45,7,8,99,999,
Paso 5: 45,46,78,96,1,6,98,45,7,8,99,999,
Paso 6: 45,46,78,96,1,6,45,98,7,8,99,999,
Paso 7: 45,46,78,96,1,6,45,7,98,8,99,999,
Paso 8: 45,46,78,96,1,6,45,7,8,98,99,999,
Paso 9: 45,46,78,1,96,6,45,7,8,98,99,999,
Paso 10: 45,46,78,1,6,96,45,7,8,98,99,999,
Paso 11: 45,46,78,1,6,45,96,7,8,98,99,999,
Paso 12: 45,46,78,1,6,45,7,96,8,98,99,999,
Paso 13: 45,46,78,1,6,45,7,8,96,98,99,999,
Paso 14: 45,46,1,78,6,45,7,8,96,98,99,999,
Paso 15: 45,46,1,6,78,45,7,8,96,98,99,999,
Paso 16: 45,46,1,6,45,78,7,8,96,98,99,999,
Paso 17: 45,46,1,6,45,7,78,8,96,98,99,999,
Paso 18: 45,46,1,6,45,7,8,78,96,98,99,999,
Paso 19: 45,1,46,6,45,7,8,78,96,98,99,999,
Paso 20: 45,1,6,46,45,7,8,78,96,98,99,999,
Paso 21: 45,1,6,45,46,7,8,78,96,98,99,999,
Paso 22: 45,1,6,45,7,46,8,78,96,98,99,999,
Paso 23: 45,1,6,45,7,8,46,78,96,98,99,999,
Paso 24: 1,45,6,45,7,8,46,78,96,98,99,999,
Paso 25: 1,6,45,45,7,8,46,78,96,98,99,999,
Paso 26: 1,6,45,45,7,8,46,78,96,98,99,999,
Paso 27: 1,6,45,7,45,8,46,78,96,98,99,999,
Paso 28: 1,6,45,7,8,45,46,78,96,98,99,999,
Paso 29: 1,6,7,45,8,45,46,78,96,98,99,999,
Paso 30: 1,6,7,8,45,45,46,78,96,98,99,999,
Paso 31: 1,6,7,8,45,45,46,78,96,98,99,999,
Paso 32: 1,6,7,8,45,45,46,78,96,98,99,999,
Conjunto Inicial: 45,98,46,78,96,1,6,45,7,8,99,999,

ORDENANDO CON BUBBLE SORT
(DESCENDENTE)

Paso 1: 98,45,46,78,96,1,6,45,7,8,99,999,
Paso 2: 98,46,45,78,96,1,6,45,7,8,99,999,
Paso 3: 98,46,78,45,96,1,6,45,7,8,99,999,
Paso 4: 98,46,78,96,45,1,6,45,7,8,99,999,
Paso 5: 98,46,78,96,45,6,1,45,7,8,99,999,
Paso 6: 98,46,78,96,45,6,45,1,7,8,99,999,
Paso 7: 98,46,78,96,45,6,45,7,1,8,99,999,
Paso 8: 98,46,78,96,45,6,45,7,8,1,99,999,
Paso 9: 98,46,78,96,45,6,45,7,8,99,1,999,
Paso 10: 98,46,78,96,45,6,45,7,8,99,999,1,
Paso 11: 98,78,46,96,45,6,45,7,8,99,999,1,
Paso 12: 98,78,96,46,45,6,45,7,8,99,999,1,
Paso 13: 98,78,96,46,45,45,6,7,8,99,999,1,
Paso 14: 98,78,96,46,45,45,7,6,8,99,999,1,
Paso 15: 98,78,96,46,45,45,7,8,6,99,999,1,
Paso 16: 98,78,96,46,45,45,7,8,99,6,999,1,
Paso 17: 98,78,96,46,45,45,7,8,99,999,6,1,
Paso 18: 98,96,78,46,45,45,7,8,99,999,6,1,
Paso 19: 98,96,78,46,45,45,7,8,99,999,6,1,
Paso 20: 98,96,78,46,45,45,8,7,99,999,6,1,
Paso 21: 98,96,78,46,45,45,8,99,7,999,6,1,
Paso 22: 98,96,78,46,45,45,8,99,999,7,6,1,
Paso 23: 98,96,78,46,45,45,8,99,999,7,6,1,
Paso 24: 98,96,78,46,45,45,99,8,999,7,6,1,
Paso 25: 98,96,78,46,45,45,99,999,8,7,6,1,
Paso 26: 98,96,78,46,45,45,99,999,8,7,6,1,
Paso 27: 98,96,78,46,45,99,45,999,8,7,6,1,
Paso 28: 98,96,78,46,45,99,999,45,8,7,6,1,
Paso 29: 98,96,78,46,99,45,999,45,8,7,6,1,
Paso 30: 98,96,78,46,99,999,45,45,8,7,6,1,
Paso 31: 98,96,78,99,46,999,45,45,8,7,6,1,
Paso 32: 98,96,78,99,999,46,45,45,8,7,6,1,
Paso 33: 98,96,99,78,999,46,45,45,8,7,6,1,
Paso 34: 98,96,99,999,78,46,45,45,8,7,6,1,
Paso 35: 98,99,96,999,78,46,45,45,8,7,6,1,
Paso 36: 98,99,999,96,78,46,45,45,8,7,6,1,
Paso 37: 99,98,999,96,78,46,45,45,8,7,6,1,
Paso 38: 99,999,98,96,78,46,45,45,8,7,6,1,
Paso 39: 999,99,98,96,78,46,45,45,8,7,6,1,
Conjunto Inicial: 45,98,46,78,96,1,6,45,7,8,99,999,

ORDENANDO CON INSERTION SORT(ASCENDENTE)

Paso 1: 45,98,46,78,96,1,6,45,7,8,99,999,
Paso 2: 45,46,98,78,96,1,6,45,7,8,99,999,
Paso 3: 45,46,78,98,96,1,6,45,7,8,99,999,
Paso 4: 45,46,78,96,98,1,6,45,7,8,99,999,
Paso 5: 1,45,46,78,96,98,6,45,7,8,99,999,
Paso 6: 1,6,45,46,78,96,98,45,7,8,99,999,
Paso 7: 1,6,45,45,46,78,96,98,7,8,99,999,
Paso 8: 1,6,7,45,45,46,78,96,98,8,99,999,
Paso 9: 1,6,7,8,45,45,46,78,96,98,99,999,
